Código Departamento,Departamento,Código Municipio,Municipio,Área,Sector Electoral,Centro de Votación,JRV,Carga Electoral
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. LA ISLA,CENTRO EVANGELICO BETHEL,1,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. LA ISLA,CENTRO EVANGELICO BETHEL,2,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. LA ISLA,CENTRO EVANGELICO BETHEL,3,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. LA ISLA,CENTRO EVANGELICO BETHEL,4,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. LA ISLA,CENTRO EVANGELICO BETHEL,5,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. LA ISLA,CENTRO EVANGELICO BETHEL,6,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. LA ISLA,CENTRO EVANGELICO BETHEL,7,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. LA ISLA,CENTRO EVANGELICO BETHEL,8,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. LA ISLA,CENTRO EVANGELICO BETHEL,9,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. LA ISLA,CENTRO EVANGELICO BETHEL,10,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. LA ISLA,CENTRO EVANGELICO BETHEL,11,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. LA ISLA,CENTRO EVANGELICO BETHEL,12,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. LA ISLA,CENTRO EVANGELICO BETHEL,13,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. LA ISLA,CENTRO EVANGELICO BETHEL,14,344
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. LA ISLA,CENTRO EVANGELICO BETHEL,15,344
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. LA ISLA,CENTRO EVANGELICO BETHEL,16,344
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. LA ISLA,CENTRO EVANGELICO BETHEL,17,344
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. LA ISLA,CENTRO EVANGELICO BETHEL,18,344
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. EL CENTRO,ESC. ATENEA,19,318
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. EL CENTRO,ESC. ATENEA,20,318
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. EL CENTRO,ESC. ATENEA,21,317
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. EL CENTRO,ESC. ATENEA,22,317
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. EL CENTRO,ESC. ATENEA,23,317
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. INGLES,ESC. AGUSTO C. COELLO,24,316
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. INGLES,ESC. AGUSTO C. COELLO,25,316
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. INGLES,ESC. AGUSTO C. COELLO,26,316
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. INGLES,ESC. AGUSTO C. COELLO,27,316
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. EL IMAN,GUARDERIA INFANTIL,28,320
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. EL IMAN,GUARDERIA INFANTIL,29,320
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. EL IMAN,GUARDERIA INFANTIL,30,320
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. EL IMAN,GUARDERIA INFANTIL,31,320
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. EL HIGUERITO,JARDIN DE NIÑOS CLARA DE BARTON,32,287
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. EL HIGUERITO,JARDIN DE NIÑOS CLARA DE BARTON,33,286
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. LOS MAESTROS O 17 DE SEPTIEMBRE,LOCAL COLEGIO DE ABOGADOS,34,317
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. LOS MAESTROS O 17 DE SEPTIEMBRE,LOCAL COLEGIO DE ABOGADOS,35,317
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. LOS MAESTROS O 17 DE SEPTIEMBRE,LOCAL COLEGIO DE ABOGADOS,36,317
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. LOS MAESTROS O 17 DE SEPTIEMBRE,LOCAL COLEGIO DE ABOGADOS,37,316
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. BUENOS AIRES,ESC. JUAN MANUEL GALVEZ,38,345
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. BUENOS AIRES,ESC. JUAN MANUEL GALVEZ,39,344
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. BUENOS AIRES,ESC. JUAN MANUEL GALVEZ,40,344
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. BUENOS AIRES,ESC. JUAN MANUEL GALVEZ,41,344
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. BUENOS AIRES,ESC. JUAN MANUEL GALVEZ,42,344
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. LA ALHAMBRA,ESC. RAMON QUINTANILLA JACOME,43,308
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. LA ALHAMBRA,ESC. RAMON QUINTANILLA JACOME,44,308
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. LA ALHAMBRA,ESC. RAMON QUINTANILLA JACOME,45,308
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MIRAMAR,ESC. RAFAELA H. RODRIGUEZ,46,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MIRAMAR,ESC. RAFAELA H. RODRIGUEZ,47,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MIRAMAR,ESC. RAFAELA H. RODRIGUEZ,48,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MIRAMAR,ESC. RAFAELA H. RODRIGUEZ,49,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MIRAMAR,ESC. RAFAELA H. RODRIGUEZ,50,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MIRAMAR,ESC. RAFAELA H. RODRIGUEZ,51,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MIRAMAR,ESC. RAFAELA H. RODRIGUEZ,52,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MIRAMAR,ESC. RAFAELA H. RODRIGUEZ,53,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MIRAMAR,ESC. RAFAELA H. RODRIGUEZ,54,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MIRAMAR,ESC. RAFAELA H. RODRIGUEZ,55,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MIRAMAR,ESC. RAFAELA H. RODRIGUEZ,56,354
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. MIRAMAR,ESC. RAFAELA H. RODRIGUEZ,57,353
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. ESQUIPULAS O LA CULATA,CEBG. JUAN MANUEL MORA DURON,58,181
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SITRAMACSA,INSTITUTO OFICIAL LA CEIBA,59,319
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SITRAMACSA,INSTITUTO OFICIAL LA CEIBA,60,319
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SITRAMACSA,INSTITUTO OFICIAL LA CEIBA,61,318
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. MEJIA,CEB GUSTAVO A. CASTAÑEDA,62,368
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. MEJIA,CEB GUSTAVO A. CASTAÑEDA,63,368
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. MEJIA,CEB GUSTAVO A. CASTAÑEDA,64,368
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. MEJIA,CEB GUSTAVO A. CASTAÑEDA,65,368
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. MEJIA,CEB GUSTAVO A. CASTAÑEDA,66,367
1,ATLANTIDA,1.0,LA CEIBA,URBANA,BO. MEJIA,CEB GUSTAVO A. CASTAÑEDA,67,367
