================================================================================
DESGLOSE DE JRV Y CARGA ELECTORAL POR DEPARTAMENTO
Elecciones Generales 2025 - Honduras
================================================================================


--------------------------------------------------------------------------------
DEPARTAMENTO: ATLANTIDA (Código: 1)
--------------------------------------------------------------------------------
Total de JRV: 939
Total de Casillas Legislativas (Diputados): 8
Carga Electoral Total: 296,287

JRV por Municipio y Centro de Votación:

  Municipio: LA CEIBA (Código: 1)
    Centro de Votación: CEB CLAUDIO BARRERA
      JRV   183 | Carga Electoral:   346 | Área: URBANA | Sector: COL. SAN JUDAS TADEO
      JRV   184 | Carga Electoral:   346 | Área: URBANA | Sector: COL. SAN JUDAS TADEO
      JRV   185 | Carga Electoral:   346 | Área: URBANA | Sector: COL. SAN JUDAS TADEO
      JRV   186 | Carga Electoral:   346 | Área: URBANA | Sector: COL. SAN JUDAS TADEO
      JRV   187 | Carga Electoral:   346 | Área: URBANA | Sector: COL. SAN JUDAS TADEO
      JRV   188 | Carga Electoral:   346 | Área: URBANA | Sector: COL. SAN JUDAS TADEO
      JRV   189 | Carga Electoral:   346 | Área: URBANA | Sector: COL. SAN JUDAS TADEO
      JRV   190 | Carga Electoral:   346 | Área: URBANA | Sector: COL. SAN JUDAS TADEO
      JRV   191 | Carga Electoral:   346 | Área: URBANA | Sector: COL. SAN JUDAS TADEO
      JRV   192 | Carga Electoral:   346 | Área: URBANA | Sector: COL. SAN JUDAS TADEO
      JRV   193 | Carga Electoral:   345 | Área: URBANA | Sector: COL. SAN JUDAS TADEO
      JRV   194 | Carga Electoral:   345 | Área: URBANA | Sector: COL. SAN JUDAS TADEO
      JRV   195 | Carga Electoral:   345 | Área: URBANA | Sector: COL. SAN JUDAS TADEO
      JRV   196 | Carga Electoral:   345 | Área: URBANA | Sector: COL. SAN JUDAS TADEO
      JRV   197 | Carga Electoral:   345 | Área: URBANA | Sector: COL. SAN JUDAS TADEO
      JRV   198 | Carga Electoral:   345 | Área: URBANA | Sector: COL. SAN JUDAS TADEO
      JRV   199 | Carga Electoral:   345 | Área: URBANA | Sector: COL. SAN JUDAS TADEO
