Código Departamento,Departamento,Total JRV,Casillas Legislativas (Diputados),Carga Electoral Total
1,ATLANTIDA,939,8.0,296287
2,COLON,684,4.0,214689
3,COMAYAGUA,1141,7.0,354472
4,COPAN,876,7.0,261995
5,CORTES,3332,20.0,1127924
6,CHOLUTECA,1101,9.0,335257
7,EL PARAISO,1098,6.0,341710
8,FRANCISCO MORAZAN,3402,23.0,1121506
9,GRACIAS A DIOS,177,1.0,55543
10,INTIBUCA,571,3.0,168646
11,ISLAS DE LA BAHIA,155,1.0,53208
12,LA PAZ,491,3.0,146073
13,LEMPIRA,796,5.0,223938
14,OCOTEPEQUE,365,2.0,108718
15,OLANCHO,1182,7.0,356602
16,SANTA BARBARA,1096,9.0,326571
17,VALLE,458,4.0,132733
18,YORO,1288,9.0,400298
20,ESTADOS UNIDOS,15,N/A,399537
TOTAL,TOTAL NACIONAL,19167,128.0,6425707
