number,department,municipality,area,location,address,electoralLoad
00001,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,301
00002,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,301
00003,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,301
00004,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,301
00005,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,301
00006,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,301
00007,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,301
00008,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,301
00009,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,301
00010,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,301
00011,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,301
00012,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,301
00013,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,301
00014,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,301
00015,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,301
00016,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,301
00017,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,301
00018,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,300
00019,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. ATENEA,006-BO. EL CENTRO,333
00020,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. ATENEA,006-BO. EL CENTRO,333
00021,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. ATENEA,006-BO. EL CENTRO,333
00022,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. ATENEA,006-BO. EL CENTRO,333
00023,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. AGUSTO C. COELLO,007-BO. INGLES,278
00024,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. AGUSTO C. COELLO,007-BO. INGLES,278
00025,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. AGUSTO C. COELLO,007-BO. INGLES,278
00026,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. AGUSTO C. COELLO,007-BO. INGLES,277
00027,01-ATLANTIDA,01-LA CEIBA,1-URBANA,GUARDERIA INFANTIL,008-BO. EL IMAN,264
00028,01-ATLANTIDA,01-LA CEIBA,1-URBANA,GUARDERIA INFANTIL,008-BO. EL IMAN,264
00029,01-ATLANTIDA,01-LA CEIBA,1-URBANA,GUARDERIA INFANTIL,008-BO. EL IMAN,264
00030,01-ATLANTIDA,01-LA CEIBA,1-URBANA,GUARDERIA INFANTIL,008-BO. EL IMAN,264
00031,01-ATLANTIDA,01-LA CEIBA,1-URBANA,JARDIN DE NIÑOS CLARA DE BARTON,010-BO. EL HIGUERITO,253
00032,01-ATLANTIDA,01-LA CEIBA,1-URBANA,JARDIN DE NIÑOS CLARA DE BARTON,010-BO. EL HIGUERITO,253
00033,01-ATLANTIDA,01-LA CEIBA,1-URBANA,LOCAL COLEGIO DE ABOGADOS,011-COL. LOS MAESTROS O 17 DE SEPTIEMBRE,276
00034,01-ATLANTIDA,01-LA CEIBA,1-URBANA,LOCAL COLEGIO DE ABOGADOS,011-COL. LOS MAESTROS O 17 DE SEPTIEMBRE,276
00035,01-ATLANTIDA,01-LA CEIBA,1-URBANA,LOCAL COLEGIO DE ABOGADOS,011-COL. LOS MAESTROS O 17 DE SEPTIEMBRE,276
00036,01-ATLANTIDA,01-LA CEIBA,1-URBANA,LOCAL COLEGIO DE ABOGADOS,011-COL. LOS MAESTROS O 17 DE SEPTIEMBRE,276
00037,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. JUAN MANUEL GALVEZ,012-BO. BUENOS AIRES,290
00038,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. JUAN MANUEL GALVEZ,012-BO. BUENOS AIRES,290
00039,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. JUAN MANUEL GALVEZ,012-BO. BUENOS AIRES,290
00040,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. JUAN MANUEL GALVEZ,012-BO. BUENOS AIRES,289
00041,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. JUAN MANUEL GALVEZ,012-BO. BUENOS AIRES,289
00042,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAMON QUINTANILLA JACOME,015-COL. LA ALHAMBRA,264
00043,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAMON QUINTANILLA JACOME,015-COL. LA ALHAMBRA,263
00044,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAMON QUINTANILLA JACOME,015-COL. LA ALHAMBRA,263
00045,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,299
00046,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,299
00047,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,299
00048,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,299
00049,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,298
00050,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,298
00051,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,298
00052,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,298
00053,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,298
00054,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,298
00055,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,298
00056,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,298
00057,01-ATLANTIDA,01-LA CEIBA,1-URBANA,JN JUAN MANUEL MORA DURON,017-COL. ESQUIPULAS O LA CULATA,154
00058,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INSTITUTO OFICIAL LA CEIBA,018-COL. SITRAMACSA,270
00059,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INSTITUTO OFICIAL LA CEIBA,018-COL. SITRAMACSA,270
