number,department,municipality,area,location,address,electoralLoad
00001,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,345
00002,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,345
00003,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,345
00004,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,345
00005,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,345
00006,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,345
00007,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,345
00008,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,345
00009,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,345
00010,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,345
00011,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,345
00012,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,345
00013,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,345
00014,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,344
00015,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,344
00016,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,344
00017,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,344
00018,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO EVANGELICO BETHEL,001-BO. LA ISLA,344
00019,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. ATENEA,006-BO. EL CENTRO,318
00020,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. ATENEA,006-BO. EL CENTRO,318
00021,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. ATENEA,006-BO. EL CENTRO,317
00022,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. ATENEA,006-BO. EL CENTRO,317
00023,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. ATENEA,006-BO. EL CENTRO,317
00024,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. AGUSTO C. COELLO,007-BO. INGLES,316
00025,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. AGUSTO C. COELLO,007-BO. INGLES,316
00026,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. AGUSTO C. COELLO,007-BO. INGLES,316
00027,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. AGUSTO C. COELLO,007-BO. INGLES,316
00028,01-ATLANTIDA,01-LA CEIBA,1-URBANA,GUARDERIA INFANTIL,008-BO. EL IMAN,320
00029,01-ATLANTIDA,01-LA CEIBA,1-URBANA,GUARDERIA INFANTIL,008-BO. EL IMAN,320
00030,01-ATLANTIDA,01-LA CEIBA,1-URBANA,GUARDERIA INFANTIL,008-BO. EL IMAN,320
00031,01-ATLANTIDA,01-LA CEIBA,1-URBANA,GUARDERIA INFANTIL,008-BO. EL IMAN,320
00032,01-ATLANTIDA,01-LA CEIBA,1-URBANA,JARDIN DE NIÑOS CLARA DE BARTON,010-BO. EL HIGUERITO,287
00033,01-ATLANTIDA,01-LA CEIBA,1-URBANA,JARDIN DE NIÑOS CLARA DE BARTON,010-BO. EL HIGUERITO,286
00034,01-ATLANTIDA,01-LA CEIBA,1-URBANA,LOCAL COLEGIO DE ABOGADOS,011-COL. LOS MAESTROS O 17 DE SEPTIEMBRE,317
00035,01-ATLANTIDA,01-LA CEIBA,1-URBANA,LOCAL COLEGIO DE ABOGADOS,011-COL. LOS MAESTROS O 17 DE SEPTIEMBRE,317
00036,01-ATLANTIDA,01-LA CEIBA,1-URBANA,LOCAL COLEGIO DE ABOGADOS,011-COL. LOS MAESTROS O 17 DE SEPTIEMBRE,317
00037,01-ATLANTIDA,01-LA CEIBA,1-URBANA,LOCAL COLEGIO DE ABOGADOS,011-COL. LOS MAESTROS O 17 DE SEPTIEMBRE,316
00038,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. JUAN MANUEL GALVEZ,012-BO. BUENOS AIRES,345
00039,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. JUAN MANUEL GALVEZ,012-BO. BUENOS AIRES,344
00040,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. JUAN MANUEL GALVEZ,012-BO. BUENOS AIRES,344
00041,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. JUAN MANUEL GALVEZ,012-BO. BUENOS AIRES,344
00042,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. JUAN MANUEL GALVEZ,012-BO. BUENOS AIRES,344
00043,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAMON QUINTANILLA JACOME,015-COL. LA ALHAMBRA,308
00044,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAMON QUINTANILLA JACOME,015-COL. LA ALHAMBRA,308
00045,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAMON QUINTANILLA JACOME,015-COL. LA ALHAMBRA,308
00046,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,354
00047,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,354
00048,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,354
00049,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,354
00050,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,354
00051,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,354
00052,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,354
00053,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,354
00054,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,354
00055,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,354
00056,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,354
00057,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. RAFAELA H. RODRIGUEZ,016-COL. MIRAMAR,353
00058,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEBG. JUAN MANUEL MORA DURON,017-COL. ESQUIPULAS O LA CULATA,181
00059,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INSTITUTO OFICIAL LA CEIBA,018-COL. SITRAMACSA,319
00060,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INSTITUTO OFICIAL LA CEIBA,018-COL. SITRAMACSA,319
00061,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INSTITUTO OFICIAL LA CEIBA,018-COL. SITRAMACSA,318
00062,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB GUSTAVO A. CASTAÑEDA,019-BO. MEJIA,368
00063,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB GUSTAVO A. CASTAÑEDA,019-BO. MEJIA,368
00064,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB GUSTAVO A. CASTAÑEDA,019-BO. MEJIA,368
00065,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB GUSTAVO A. CASTAÑEDA,019-BO. MEJIA,368
00066,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB GUSTAVO A. CASTAÑEDA,019-BO. MEJIA,367
00067,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB GUSTAVO A. CASTAÑEDA,019-BO. MEJIA,367
00068,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO DE RECURSO PARA LA INCLUSIÓN EDUCATIVA,020-BO. INDEPENDENCIA,340
00069,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO DE RECURSO PARA LA INCLUSIÓN EDUCATIVA,020-BO. INDEPENDENCIA,340
00070,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO DE RECURSO PARA LA INCLUSIÓN EDUCATIVA,020-BO. INDEPENDENCIA,339
00071,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CENTRO DE RECURSO PARA LA INCLUSIÓN EDUCATIVA,020-BO. INDEPENDENCIA,339
00072,01-ATLANTIDA,01-LA CEIBA,1-URBANA,JARDIN DE NIÑOS ALFONZO GUILLEN ZELAYA,021-BO. SOLARES NUEVOS,329
00073,01-ATLANTIDA,01-LA CEIBA,1-URBANA,JARDIN DE NIÑOS ALFONZO GUILLEN ZELAYA,021-BO. SOLARES NUEVOS,329
00074,01-ATLANTIDA,01-LA CEIBA,1-URBANA,JARDIN DE NIÑOS ALFONZO GUILLEN ZELAYA,021-BO. SOLARES NUEVOS,328
00075,01-ATLANTIDA,01-LA CEIBA,1-URBANA,JARDIN DE NIÑOS ALFONZO GUILLEN ZELAYA,021-BO. SOLARES NUEVOS,328
00076,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. JOSE TRINIDAD CABAÑAS,022-BO. ALVARADO,352
00077,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. JOSE TRINIDAD CABAÑAS,022-BO. ALVARADO,352
00078,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. JOSE TRINIDAD CABAÑAS,022-BO. ALVARADO,352
00079,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. JOSE TRINIDAD CABAÑAS,022-BO. ALVARADO,352
00080,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. JOSE TRINIDAD CABAÑAS,022-BO. ALVARADO,352
00081,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. JOSE TRINIDAD CABAÑAS,022-BO. ALVARADO,352
00082,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. JOSE TRINIDAD CABAÑAS,022-BO. ALVARADO,352
00083,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. JOSE TRINIDAD CABAÑAS,022-BO. ALVARADO,352
